Type,Map,Stage,Link (EN)
000,,,[[Legend Stages#Stories of Legend|Stories of Legend]]
001,,,[[Special Events|Event Stages]]
002,,,[[Collaboration Event Stages|Collaboration Stages]]
003,,,[[Main Chapters Levels]]
004,,,Extra Stages
006,,,[[Catclaw Dojo]]
007,,,Towers
011,,,[[Arena of Honor]]
012,,,Challenge Mode
013,,,[[Legend Stages#Uncanny Legends|Uncanny Legends]]
014,,,[[Catamin Stages]]
024,,,[[Gauntlet]]s
025,,,[[Enigma Stages]]
027,,,Collab Gauntlets
031,,,[[Behemoth Culling]]
033,,,[[Underground Labyrinth]]
034,,,[[Legend Stages#Zero Legends|Zero Legends]]
#	Type names
#
#
#### SECTIONS ####
#	SoL
#	Event
#	Collab
#	Main
#	Extra
#	Dojo
#	Tower
#	Ranking
#	Challenge
#	UL
#	Catamin
#	Gauntlet
#	Enigma
#	Collab Gauntlet
#	Behemoth
#	Labyrinth
#	Zero Legends
#
#
000,000,,[[The Legend Begins]]
000,000,000,[[Earthshaker]]
000,000,001,[[Return of Terror]]
000,000,002,[[Sunset Blues]]
000,000,003,[[Melancholy Damp]]
000,000,004,[[Bouncy Park]]
000,000,005,[[Gentle Smile]]
000,000,006,[[Guardian of the Ranch]]
000,000,007,[[Sleeping Lion]]
000,001,,[[Passion Land]]
000,001,000,[[Nyandalucia]]
000,001,001,[[Paella Field]]
000,001,002,[[Flamenco Hole]]
000,001,003,[[Sangria River]]
000,001,004,[[Gazpacho Highland]]
000,001,005,[[Churros Night]]
000,001,006,[[Bone Dry Gardens]]
000,001,007,[[Tapas Desert]]
000,002,,[[Glucosamine Desert]]
000,002,000,[[Chondroitin Sandhill]]
000,002,001,[[Sesamin Ruins]]
000,002,002,[[Isoflavone Cave]]
000,002,003,[[Catechin Hill]]
000,002,004,[[Lycopene Sunset]]
000,002,005,[[Propolis Oasis]]
000,002,006,[[Peptide Snowfield]]
000,002,007,[[Hyaluronan Mountain]]
000,003,,[[Swimming Cats]]
000,003,000,[[Premature Launch]]
000,003,001,[[Deep Ocean Blue]]
000,003,002,[[Mermaid Cove]]
000,003,003,[[Chaos Lagoon]]
000,003,004,[[Playing Pirates]]
000,003,005,[[Fisherman's Dilemma]]
000,003,006,[[Seaweed Shallows]]
000,003,007,[[Salty is Seawater]]
000,004,,[[Risqué Terrain]]
000,004,000,[[Lovely Minerals]]
000,004,001,[[Shapely Caverns]]
000,004,002,[[Enticing Tunnels]]
000,004,003,[[Squishy Hollows]]
000,004,004,[[Twin Peaks]]
000,004,005,[[Thriller Bridge]]
000,005,,[[Western Street]]
000,005,000,[[Gunman's Dawn]]
000,005,001,[[Cowboy Haven]]
000,005,002,[[Wanted Night]]
000,005,003,[[Macaroni Town]]
000,005,004,[[Wandering Traveler]]
000,005,005,[[Disappointed Guard]]
000,005,006,[[Cowboy Mountain]]
000,005,007,[[Rodeo Night]]
000,006,,[[Sea of Tuna]]
000,006,000,[[Red Tuna Coast]]
000,006,001,[[Fresh Wharf]]
000,006,002,[[Blue Ocean]]
000,006,003,[[Carapaccio Waters]]
000,006,004,[[Economic Sea]]
000,006,005,[[Tactical War Tuna]]
000,006,006,[[Frozen Tuna Front]]
000,006,007,[[Cave Fillet]]
000,007,,[[Bamboo Island]]
000,007,000,[[Prickly Field]]
000,007,001,[[Bamboo Coast]]
000,007,002,[[Serial Killer Jungle]]
000,007,003,[[Disgusting Swamp]]
000,007,004,[[Dumpy Cave]]
000,007,005,[[Stardust Street]]
000,007,006,[[Mushroom Cliff]]
000,007,007,[[Frontier Spirit]]
000,008,,[[Squishy Cave]]
000,008,000,[[Milky Tunnel]]
000,008,001,[[Fluffy Dark Weapon]]
000,008,002,[[Mural of the Devil]]
000,008,003,[[The Wind Blows]]
000,008,004,[[Juvenile Killer]]
000,008,005,[[Upset Rock]]
000,008,006,[[Flooded Cave]]
000,008,007,[[Chubby B. Goode]]
000,009,,[[Volkanos Volcano]]
000,009,000,[[Hot Bath Rock]]
000,009,001,[[Gentle Geyser]]
000,009,002,[[Thick Magma]]
000,009,003,[[Fire Cage]]
000,009,004,[[Volcanic Defender]]
000,009,005,[[Flame Caldera]]
000,010,,[[Neverending Cat Story]]
000,010,000,[[Potential Road]]
000,010,001,[[Gloomy Tree]]
000,010,002,[[A Song in the Wind]]
000,010,003,[[Philosophy Road]]
000,010,004,[[Frontier Bell]]
000,010,005,[[River of Tears]]
000,010,006,[[Shining Road]]
000,010,007,[[The Trial Deep]]
000,011,,[[Castle of Fish]]
000,011,000,[[The Sea Whispers]]
000,011,001,[[Ripples Island]]
000,011,002,[[Octopus Sea]]
000,011,003,[[Poseidon Rest]]
000,011,004,[[Moonlight Beach]]
